Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,10116,800,300,200,198,0,0,0,66183
UFPelH1,1,17845,2000,100,0,27,0,0,0,63890
UFPelH2,2,0,0,0,0,1207,125,0,0,82330
UFPelH3,3,9786,919,81,0,0,24,0,0,72952
UFSMH4,4,100,100,0,0,69,0,0,0,90296
UFSMH5,5,20759,532,529,768,456,0,978,0,63145
UFSMH6,6,21908,1490,497,885,166,211,199,176,64933
UFSMH7,7,28092,1445,40,465,194,0,0,0,60260
IFSulH8,8,0,100,0,0,962,0,0,0,79088
IFSulH9,9,0,200,0,0,241,250,0,0,79608
IFSulH10,10,25902,4885,1644,1198,1177,0,216,838,44390
IFSulH11,11,7934,1231,12,0,0,36,0,0,69975
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
