User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,9400371
user00,0,UFPel,2,3900071
user00,0,UFPel,3,20300692
user01,1,UFSM,4,9400179
user01,1,UFSM,5,9300253
user01,1,UFSM,6,7400139
user01,1,UFSM,7,7500262
user02,2,IFSul,9,16700525
user02,2,IFSul,10,5600058
user02,2,IFSul,11,11301278
user03,3,UFPel,2,14800362
user03,3,UFPel,3,18800437
user04,4,UFSM,4,27900966
user04,4,UFSM,6,5700034
user05,5,IFSul,8,12801464
user05,5,IFSul,9,5700089
user05,5,IFSul,11,15101375
user06,6,UFPel,2,25901090
user06,6,UFPel,3,7700209
user07,7,UFSM,5,16503382
user07,7,UFSM,6,5600087
user07,7,UFSM,7,11500172
user08,8,IFSul,9,5700060
user08,8,IFSul,10,20500573
user08,8,IFSul,11,7400172
user09,9,UFPel,0,7300133
user09,9,UFPel,1,11200180
user09,9,UFPel,2,7400122
user09,9,UFPel,3,7700147
user10,10,UFSM,5,26301360
user10,10,UFSM,7,7300124
user11,11,IFSul,8,11400297
user11,11,IFSul,9,9300209
user11,11,IFSul,10,12900242
user12,12,UFPel,1,10800372
user12,12,UFPel,2,20900684
user12,12,UFPel,3,1900016
user13,13,UFSM,4,12700068
user13,13,UFSM,5,14700144
user13,13,UFSM,7,6200162
user14,14,IFSul,8,16701619
user14,14,IFSul,9,2200040
user14,14,IFSul,10,14700246
user15,15,UFPel,0,9300257
user15,15,UFPel,1,15001264
user15,15,UFPel,3,9300423
user16,16,UFSM,4,9200337
user16,16,UFSM,5,13200427
user16,16,UFSM,6,11200439
user17,17,IFSul,8,12800024
user17,17,IFSul,9,14800598
user17,17,IFSul,11,6000107
user18,18,UFPel,1,4000068
user18,18,UFPel,2,25500250
user18,18,UFPel,3,4100034
user19,19,UFSM,4,12600294
user19,19,UFSM,6,19000527
user19,19,UFSM,7,2000046
user20,20,IFSul,8,16800279
user20,20,IFSul,10,7600292
user20,20,IFSul,11,9200220
user21,21,UFPel,0,13100263
user21,21,UFPel,3,20503177
user22,22,UFSM,4,11500135
user22,22,UFSM,6,11100211
user22,22,UFSM,7,11000185
user23,23,IFSul,8,22600516
user23,23,IFSul,11,11000459
user24,24,UFPel,2,22500507
user24,24,UFPel,3,11100291
user25,25,UFSM,6,29502884
user25,25,UFSM,7,4100110
user26,26,IFSul,9,20700348
user26,26,IFSul,10,5600139
user26,26,IFSul,11,7300139
user27,27,UFPel,0,22600327
user27,27,UFPel,1,11000369
user28,28,UFSM,4,11000283
user28,28,UFSM,5,9700097
user28,28,UFSM,6,12900111
user29,29,IFSul,8,7600191
user29,29,IFSul,9,14900210
user29,29,IFSul,11,11100070
user30,30,UFPel,0,7500036
user30,30,UFPel,1,13300295
user30,30,UFPel,3,12800985
user31,31,UFSM,5,20500804
user31,31,UFSM,7,13100153
user32,32,IFSul,8,10900343
user32,32,IFSul,9,9300209
user32,32,IFSul,11,13400180
user33,33,UFPel,1,26202290
user33,33,UFPel,2,7400052
user34,34,UFSM,4,14501764
user34,34,UFSM,6,9300081
user34,34,UFSM,7,9800174
user35,35,IFSul,8,20501032
user35,35,IFSul,9,9300091
user35,35,IFSul,11,3800017
user36,36,UFPel,0,3800054
user36,36,UFPel,2,12900390
user36,36,UFPel,3,16900219
user37,37,UFSM,4,18200450
user37,37,UFSM,5,5800047
user37,37,UFSM,7,9600558
user38,38,IFSul,8,5800122
user38,38,IFSul,9,16600287
user38,38,IFSul,10,1900006
user38,38,IFSul,11,9300147
user39,39,UFPel,1,11200180
user39,39,UFPel,2,7400083
user39,39,UFPel,3,15000291
user40,40,UFSM,4,26000558
user40,40,UFSM,7,7600237
user41,41,IFSul,8,7600180
user41,41,IFSul,9,20300811
user41,41,IFSul,10,5700062
user42,42,UFPel,0,20200562
user42,42,UFPel,2,13400249
user43,43,UFSM,4,9500211
user43,43,UFSM,7,24101559
user44,44,IFSul,8,9200208
user44,44,IFSul,9,5600024
user44,44,IFSul,11,18801130
user45,45,UFPel,0,16900324
user45,45,UFPel,1,9200021
user45,45,UFPel,3,7500045
user46,46,UFSM,5,9000240
user46,46,UFSM,6,13100824
user46,46,UFSM,7,11500197
user47,47,IFSul,9,16800367
user47,47,IFSul,10,11100288
user47,47,IFSul,11,5700054
user48,48,UFPel,0,3800043
user48,48,UFPel,1,9400315
user48,48,UFPel,2,5800032
user48,48,UFPel,3,14600611
user49,49,UFSM,4,9500422
user49,49,UFSM,5,3800084
user49,49,UFSM,7,20301102
user50,50,IFSul,8,13100104
user50,50,IFSul,11,20500890
user51,51,UFPel,0,7500050
user51,51,UFPel,1,5900157
user51,51,UFPel,2,20200643
user52,52,UFSM,4,22404007
user52,52,UFSM,6,11200241
user53,53,IFSul,8,3700067
user53,53,IFSul,9,29900801
user54,54,UFPel,0,13000695
user54,54,UFPel,2,7600104
user54,54,UFPel,3,13000212
user55,55,UFSM,4,13001267
user55,55,UFSM,5,9200131
user55,55,UFSM,6,2200046
user55,55,UFSM,7,9200044
user56,56,IFSul,8,9600098
user56,56,IFSul,9,5700038
user56,56,IFSul,10,11100384
user56,56,IFSul,11,7200032
user57,57,UFPel,1,7700281
user57,57,UFPel,2,25900857
user58,58,UFSM,4,5900167
user58,58,UFSM,5,3800050
user58,58,UFSM,6,13000339
user58,58,UFSM,7,10900343
user59,59,IFSul,8,16500383
user59,59,IFSul,11,17100427
user60,60,UFPel,0,7400042
user60,60,UFPel,2,9200342
user60,60,UFPel,3,17000282
user61,61,UFSM,4,16600334
user61,61,UFSM,6,17000551
