User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,5500057
user00,0,UFPel,2,11100351
user00,0,UFPel,3,17001011
user01,1,UFSM,4,9200150
user01,1,UFSM,5,5500343
user01,1,UFSM,6,9400560
user01,1,UFSM,7,9500632
user02,2,IFSul,9,13000843
user02,2,IFSul,10,13001821
user02,2,IFSul,11,7600495
user03,3,UFPel,2,13000814
user03,3,UFPel,3,20602022
user04,4,UFSM,4,26202187
user04,4,UFSM,6,7400474
user05,5,IFSul,8,7300418
user05,5,IFSul,9,11101061
user05,5,IFSul,11,15201339
user06,6,UFPel,2,22702359
user06,6,UFPel,3,10900512
user07,7,UFSM,5,9601491
user07,7,UFSM,6,7300508
user07,7,UFSM,7,16700675
user08,8,IFSul,9,7500511
user08,8,IFSul,10,20301171
user08,8,IFSul,11,5800519
user09,9,UFPel,0,4000246
user09,9,UFPel,1,7400695
user09,9,UFPel,2,11100811
user09,9,UFPel,3,11101443
user10,10,UFSM,5,31505150
user10,10,UFSM,7,2100190
user11,11,IFSul,8,14701999
user11,11,IFSul,9,11301084
user11,11,IFSul,10,7600168
user12,12,UFPel,1,3800021
user12,12,UFPel,2,22303207
user12,12,UFPel,3,7500454
user13,13,UFSM,4,11200671
user13,13,UFSM,5,9300129
user13,13,UFSM,7,13102215
user14,14,IFSul,8,3900265
user14,14,IFSul,9,5700413
user14,14,IFSul,10,24000920
user15,15,UFPel,0,9401071
user15,15,UFPel,1,20401198
user15,15,UFPel,3,3800260
user16,16,UFSM,4,4200357
user16,16,UFSM,5,7400894
user16,16,UFSM,6,5200968
user17,17,IFSul,8,6603406
user17,17,IFSul,9,8301520
user17,17,IFSul,11,1900509
user18,18,UFPel,1,3401408
user18,18,UFPel,2,8000924
user18,18,UFPel,3,5400707
user19,19,UFSM,4,6601108
user19,19,UFSM,6,6701179
user19,19,UFSM,7,3500540
user20,20,IFSul,8,7501469
user20,20,IFSul,10,5001326
user20,20,IFSul,11,4301468
user21,21,UFPel,0,9004542
user21,21,UFPel,3,7800883
user22,22,UFSM,4,8001108
user22,22,UFSM,6,4200858
user22,22,UFSM,7,4601276
user23,23,IFSul,8,15103134
user23,23,IFSul,11,1700170
user24,24,UFPel,2,11901897
user24,24,UFPel,3,4900724
user25,25,UFSM,6,11404386
user25,25,UFSM,7,5401036
user26,26,IFSul,9,8300531
user26,26,IFSul,10,3600708
user26,26,IFSul,11,4901843
user27,27,UFPel,0,12305443
user27,27,UFPel,1,4500581
user28,28,UFSM,4,5200699
user28,28,UFSM,5,8700972
user28,28,UFSM,6,2900811
user29,29,IFSul,8,5000951
user29,29,IFSul,9,9501317
user29,29,IFSul,11,2300280
user30,30,UFPel,0,5101542
user30,30,UFPel,1,8102669
user30,30,UFPel,3,3600416
user31,31,UFSM,5,13001901
user31,31,UFSM,7,3800282
user32,32,IFSul,8,600412
user32,32,IFSul,9,100053
user32,32,IFSul,11,1301295
user33,33,UFPel,1,1400952
user33,33,UFPel,2,600151
user34,34,UFSM,4,700436
user34,34,UFSM,6,400130
user34,34,UFSM,7,900508
user35,35,IFSul,8,1000375
user35,35,IFSul,9,700351
user35,35,IFSul,11,300205
user36,36,UFPel,0,600997
user36,36,UFPel,2,500215
user36,36,UFPel,3,900370
user37,37,UFSM,4,500363
user37,37,UFSM,5,700448
user37,37,UFSM,7,800607
user38,38,IFSul,8,200173
user38,38,IFSul,9,500211
user38,38,IFSul,10,1100758
user38,38,IFSul,11,200207
user39,39,UFPel,1,700546
user39,39,UFPel,2,500170
user39,39,UFPel,3,800455
user40,40,UFSM,4,1401252
user40,40,UFSM,7,600583
user41,41,IFSul,8,700344
user41,41,IFSul,9,1000326
user41,41,IFSul,10,300101
user42,42,UFPel,0,800937
user42,42,UFPel,2,1200698
user43,43,UFSM,4,500390
user43,43,UFSM,7,1501090
user44,44,IFSul,8,300161
user44,44,IFSul,9,800355
user44,44,IFSul,11,900754
user45,45,UFPel,0,1301078
user45,45,UFPel,1,200137
user45,45,UFPel,3,500172
user46,46,UFSM,5,400364
user46,46,UFSM,6,400253
user46,46,UFSM,7,1200957
user47,47,IFSul,9,1000377
user47,47,IFSul,10,500383
user47,47,IFSul,11,500512
