Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,443,146,0,639,582,13240
UFPelH1,1,0,0,0,0,0,0,0,2,13498
UFPelH2,2,0,0,0,0,0,0,2,0,14948
UFPelH3,3,5557,4220,2628,1256,340,141,159,360,0
UFSMH4,4,0,0,1490,200,959,34,9,91,7348
UFSMH5,5,0,0,0,100,853,1186,199,86,7607
UFSMH6,6,0,0,0,0,0,0,767,807,7680
UFSMH7,7,0,0,0,100,412,116,274,57,7498
IFSulH8,8,0,0,0,0,0,0,0,2,13498
IFSulH9,9,0,0,0,0,0,0,0,2,15664
IFSulH10,10,0,0,0,0,0,0,0,2,19364
IFSulH11,11,3461,8032,2948,553,563,125,0,184,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
