Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,1139,0,0,0,0,0,0,0,0
UFPelH1,1,1158,642,0,0,0,0,0,0,0
UFPelH2,2,1794,121,337,441,728,853,216,0,0
UFPelH3,3,100,0,50,0,828,1479,1933,0,0
UFSMH4,4,0,378,549,976,350,667,0,0,0
UFSMH5,5,392,979,1616,133,0,0,0,0,0
UFSMH6,6,217,1875,450,0,0,0,0,0,0
UFSMH7,7,1135,512,924,449,0,0,0,0,0
IFSulH8,8,1917,600,0,0,0,0,0,0,0
IFSulH9,9,100,1403,732,768,200,125,0,0,0
IFSulH10,10,2928,300,200,0,0,0,0,0,0
IFSulH11,11,0,867,410,1410,97,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
