Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,1955,616,799,723,186,138,0,0,0
UFPelH1,1,1937,791,50,718,1136,46,0,0,0
UFPelH2,2,183,494,401,50,508,304,1223,1393,172
UFPelH3,3,461,25,50,351,546,105,977,2142,121
UFSMH4,4,676,26,382,118,456,1090,913,0,0
UFSMH5,5,1928,25,135,289,102,1017,1671,17,0
UFSMH6,6,537,418,149,375,892,798,27,0,0
UFSMH7,7,1557,724,178,778,937,756,18,136,0
IFSulH8,8,1337,74,300,175,957,851,366,0,0
IFSulH9,9,151,400,150,323,32,936,1596,272,0
IFSulH10,10,648,426,527,425,1827,266,0,0,0
IFSulH11,11,1365,162,692,982,427,281,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
