User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,21027051
user00,0,UFPel,1,1011038
user00,0,UFPel,2,6446591
user00,0,UFPel,3,5118559
user01,1,UFSM,4,3126881
user01,1,UFSM,5,12077638
user01,1,UFSM,6,14117344
user01,1,UFSM,7,4285400
user02,2,IFSul,8,12878406
user02,2,IFSul,9,6745484
user02,2,IFSul,10,13633166
user02,2,IFSul,11,352050
user03,3,UFPel,0,3384348
user03,3,UFPel,1,1443732
user03,3,UFPel,2,14597900
user03,3,UFPel,3,14177554
user04,4,UFSM,4,5204959
user04,4,UFSM,5,4287482
user04,4,UFSM,6,9822267
user05,5,IFSul,8,5102937
user05,5,IFSul,9,2400941
user05,5,IFSul,11,9303348
user06,6,UFPel,2,13703993
user06,6,UFPel,3,3102078
user07,7,UFSM,5,1801950
user07,7,UFSM,6,5186852
user07,7,UFSM,7,7324148
user08,8,IFSul,9,600457
user08,8,IFSul,10,1001436
user08,8,IFSul,11,500642
user09,9,UFPel,0,200639
user09,9,UFPel,1,900885
user09,9,UFPel,2,200207
user09,9,UFPel,3,702060
user10,10,UFSM,5,1503804
user10,10,UFSM,7,501722
user11,11,IFSul,8,802284
user11,11,IFSul,9,702095
user11,11,IFSul,10,500551
