Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,500,0,0,0,0,0,0,0,0
UFPelH1,1,3278,0,0,0,0,0,0,0,0
UFPelH2,2,226,500,1551,49,0,0,0,0,0
UFPelH3,3,225,0,2178,1000,0,0,0,0,0
UFSMH4,4,477,1402,849,0,0,0,0,0,0
UFSMH5,5,1228,1775,0,0,0,0,0,0,0
UFSMH6,6,1126,1125,0,0,0,0,0,0,0
UFSMH7,7,1253,1650,0,0,0,0,0,0,0
IFSulH8,8,1700,0,0,0,0,0,0,0,0
IFSulH9,9,1547,1507,324,0,0,0,0,0,0
IFSulH10,10,1524,276,0,0,0,0,0,0,0
IFSulH11,11,451,2203,149,0,0,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
