User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,9362895
user00,0,UFPel,1,5402637
user00,0,UFPel,2,613512
user00,0,UFPel,3,12918104
user00,0,Burst,14,5310000
user01,1,UFSM,4,9502324
user01,1,UFSM,5,5502003
user01,1,UFSM,6,9201097
user01,1,UFSM,7,9401026
user02,2,IFSul,9,13004582
user02,2,IFSul,10,13004116
user02,2,IFSul,11,7604206
user03,3,UFPel,2,12903796
user03,3,UFPel,3,20706884
user04,4,UFSM,4,26108633
user04,4,UFSM,6,7501474
user05,5,IFSul,8,7401216
user05,5,IFSul,9,10901708
user05,5,IFSul,11,15307404
user06,6,UFPel,2,22505561
user06,6,UFPel,3,11101065
user07,7,UFSM,5,9400988
user07,7,UFSM,6,7401438
user07,7,UFSM,7,16805873
user08,8,IFSul,9,7403066
user08,8,IFSul,10,20305413
user08,8,IFSul,11,5904246
user09,9,UFPel,0,4200844
user09,9,UFPel,1,7203516
user09,9,UFPel,2,11202415
user09,9,UFPel,3,11002312
user10,10,UFSM,5,31407917
user10,10,UFSM,7,2202106
user11,11,IFSul,8,15003365
user11,11,IFSul,9,11302503
user11,11,IFSul,10,7300608
user12,12,UFPel,1,3802181
user12,12,UFPel,2,22204128
user12,12,UFPel,3,7601296
user13,13,UFSM,4,11305067
user13,13,UFSM,5,9303905
user13,13,UFSM,7,13000866
user14,14,IFSul,8,4001576
user14,14,IFSul,9,5502919
user14,14,IFSul,10,24104048
user15,15,UFPel,0,9203232
user15,15,UFPel,1,20504909
user15,15,UFPel,3,3901064
user16,16,UFSM,4,4603016
user16,16,UFSM,5,7907595
user16,16,UFSM,6,4302872
user17,17,IFSul,8,4804067
user17,17,IFSul,9,6906036
user17,17,IFSul,11,5104966
user18,18,UFPel,1,4103225
user18,18,UFPel,2,7707391
user18,18,UFPel,3,5004065
user19,19,UFSM,4,4904003
user19,19,UFSM,6,7707713
user19,19,UFSM,7,4202494
user20,20,IFSul,8,9411784
user20,20,IFSul,10,2804274
user20,20,IFSul,11,4603088
user21,21,UFPel,0,6900576
user21,21,UFPel,3,9909117
user22,22,UFSM,4,6810688
user22,22,UFSM,6,5706487
user22,22,UFSM,7,4302535
user23,23,IFSul,8,14513550
user23,23,IFSul,11,2301506
user24,24,UFPel,2,12113473
user24,24,UFPel,3,4703201
user25,25,UFSM,6,12010537
user25,25,UFSM,7,4806452
user26,26,IFSul,9,8206786
user26,26,IFSul,10,3302597
user26,26,IFSul,11,5306284
user27,27,UFPel,0,12901576
user27,27,UFPel,1,3902542
user28,28,UFSM,4,4002720
user28,28,UFSM,5,9206176
user28,28,UFSM,6,3602988
user29,29,IFSul,8,4304748
user29,29,IFSul,9,8706177
user29,29,IFSul,11,3805483
user30,30,UFPel,0,5303955
user30,30,UFPel,1,7303015
user30,30,UFPel,3,4203140
user31,31,UFSM,5,10808066
user31,31,UFSM,7,6002905
user32,32,IFSul,8,601472
user32,32,IFSul,9,300585
user32,32,IFSul,11,1104153
user33,33,UFPel,1,1705462
user33,33,UFPel,2,300548
user34,34,UFSM,4,601082
user34,34,UFSM,6,400441
user34,34,UFSM,7,1003182
user35,35,IFSul,8,1003321
user35,35,IFSul,9,501472
user35,35,IFSul,11,502808
user36,36,UFPel,0,500652
user36,36,UFPel,2,301241
user36,36,UFPel,3,1203989
user37,37,UFSM,4,501106
user37,37,UFSM,5,703082
user37,37,UFSM,7,801698
user38,38,IFSul,8,200575
user38,38,IFSul,9,300495
user38,38,IFSul,10,1004983
user38,38,IFSul,11,503296
user39,39,UFPel,1,801960
user39,39,UFPel,2,502003
user39,39,UFPel,3,702052
user40,40,UFSM,4,1604498
user40,40,UFSM,7,400724
user41,41,IFSul,8,401899
user41,41,IFSul,9,1303704
user41,41,IFSul,10,301993
user42,42,UFPel,0,1202581
user42,42,UFPel,2,801459
user43,43,UFSM,4,400992
user43,43,UFSM,7,1607336
user44,44,IFSul,8,702437
user44,44,IFSul,9,501738
user44,44,IFSul,11,802676
user45,45,UFPel,0,1304384
user45,45,UFPel,1,402648
user45,45,UFPel,3,301350
user46,46,UFSM,5,602578
user46,46,UFSM,6,300733
user46,46,UFSM,7,1103140
user47,47,IFSul,9,1103583
user47,47,IFSul,10,503504
user47,47,IFSul,11,400415
