Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,762,0,500,79,315,742,949,607,2246
UFPelH1,1,0,0,1839,1205,100,2,605,385,3375
UFPelH2,2,0,0,0,0,0,0,2,0,4548
UFPelH3,3,1868,1427,1883,795,309,247,243,321,384
UFSMH4,4,0,0,0,1868,1264,1113,1476,872,1527
UFSMH5,5,0,0,0,0,2,0,0,0,3206
UFSMH6,6,0,888,1130,100,766,730,959,0,2943
UFSMH7,7,0,0,0,5224,1301,750,0,66,1364
IFSulH8,8,0,0,0,0,0,0,0,2,8537
IFSulH9,9,0,0,0,0,0,0,0,2,4098
IFSulH10,10,0,0,0,1491,251,19,1203,473,5839
IFSulH11,11,6504,838,572,0,1651,933,389,0,0
BurstH12,12,0,0,0,0,0,2,0,0,12875
BurstH13,13,0,0,0,0,0,0,2,0,15033
BurstH14,14,0,0,0,0,2,0,0,0,13422
BurstH15,15,0,0,0,0,0,2,0,0,13675
