Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,1683,127,0,0,1790
UFPelH1,1,0,0,0,0,1335,175,0,0,1790
UFPelH2,2,158,214,491,617,988,3,104,891,711
UFPelH3,3,1318,812,157,300,436,512,391,302,130
UFSMH4,4,840,360,570,0,502,0,0,0,298
UFSMH5,5,811,0,899,600,2,251,151,111,298
UFSMH6,6,0,100,0,314,368,568,573,745,683
UFSMH7,7,928,300,217,196,266,919,181,861,39
IFSulH8,8,383,197,322,232,1106,259,611,27,221
IFSulH9,9,1125,1566,217,199,101,1,149,0,0
IFSulH10,10,0,0,0,1088,342,226,3,127,297
IFSulH11,11,0,101,500,486,133,104,1358,180,596
BurstH12,12,602,1741,1934,0,0,0,0,0,0
BurstH13,13,1530,2728,0,0,0,0,0,0,0
BurstH14,14,4334,43,0,0,0,0,0,0,0
BurstH15,15,3507,300,0,0,0,0,0,0,0
