Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,9000,0,0,0,0,0,0,0,0
UFPelH1,1,18016,1000,0,0,0,0,0,0,0
UFPelH2,2,8801,1520,6750,15000,0,0,0,0,0
UFPelH3,3,11040,5031,16000,2000,0,0,0,0,0
UFSMH4,4,13825,14000,5000,0,0,0,0,0,0
UFSMH5,5,10000,12000,0,0,0,0,0,0,0
UFSMH6,6,7500,15500,0,0,0,0,0,0,0
UFSMH7,7,13825,20000,0,0,0,0,0,0,0
IFSulH8,8,21250,1000,0,0,0,0,0,0,0
IFSulH9,9,15343,18000,0,0,0,0,0,0,0
IFSulH10,10,23997,4000,0,0,0,0,0,0,0
IFSulH11,11,14343,20000,0,0,0,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
