User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,596000
user00,0,UFPel,1,7256844
user00,0,UFPel,2,1821455
user00,0,UFPel,3,1305908
user00,0,Burst,14,24431926
user01,1,UFSM,4,340018
user01,1,UFSM,5,594510
user01,1,UFSM,6,2640859
user01,1,UFSM,7,1961691
user01,1,Burst,13,18567787
user01,1,Burst,14,11301414
user02,2,IFSul,8,7484595
user02,2,IFSul,10,6689160
user02,2,IFSul,11,2416729
user02,2,Burst,13,5600000
user02,2,Burst,14,13216415
user03,3,UFPel,0,1796000
user03,3,UFPel,1,15728110
user03,3,UFPel,3,7587981
user03,3,Burst,15,10303517
user04,4,UFSM,4,3047020
user04,4,UFSM,5,2729884
user04,4,UFSM,6,5301139
user04,4,Burst,13,5728000
user05,5,IFSul,8,3269808
user05,5,IFSul,9,4035400
user05,5,IFSul,11,5338987
user05,5,Burst,15,4164000
user06,6,UFPel,2,7702589
user06,6,UFPel,3,2201342
user06,6,Burst,15,6902000
user07,7,UFSM,5,4303778
user07,7,UFSM,6,5401939
user07,7,UFSM,7,7102284
user08,8,IFSul,9,602028
user08,8,IFSul,10,903056
user08,8,IFSul,11,501692
user09,9,UFPel,1,903331
user09,9,UFPel,2,601819
user09,9,UFPel,3,501257
user11,10,UFSM,5,1605894
user11,10,UFSM,7,400000
user12,11,IFSul,8,1102429
user12,11,IFSul,9,100000
user12,11,IFSul,10,700252
